Font,Color Combination,Lens,Distance to Screen,Screen Brightness,Horizontal Angle,Vertical Angle,Exposure Time,Gain,Size,Unprocessed Accuracy,Processed Accuracy
0,0,daheng_12mm,100,50,45,45,500,15,Small,0.03333333333333333,0.0
0,1,daheng_12mm,100,50,45,45,500,15,Big,1.0,1.0
0,1,daheng_12mm,100,50,45,45,500,15,Medium,0.5333333333333333,0.4666666666666667
0,1,daheng_12mm,100,50,45,45,500,15,Small,0.0,0.0
0,2,daheng_12mm,100,50,45,45,500,15,Big,0.0,0.6
0,2,daheng_12mm,100,50,45,45,500,15,Medium,0.0,0.06666666666666667
0,2,daheng_12mm,100,50,45,45,500,15,Small,0.0,0.0
0,3,daheng_12mm,100,50,45,45,500,15,Big,1.0,0.9333333333333333
0,3,daheng_12mm,100,50,45,45,500,15,Medium,0.43333333333333335,0.43333333333333335
0,3,daheng_12mm,100,50,45,45,500,15,Small,0.0,0.0
1,0,daheng_12mm,100,50,45,45,500,15,Big,1.0,0.9666666666666667
1,0,daheng_12mm,100,50,45,45,500,15,Medium,0.9333333333333333,0.03333333333333333
1,0,daheng_12mm,100,50,45,45,500,15,Small,0.0,0.0
1,1,daheng_12mm,100,50,45,45,500,15,Big,1.0,1.0
1,1,daheng_12mm,100,50,45,45,500,15,Medium,0.5666666666666667,0.7
1,1,daheng_12mm,100,50,45,45,500,15,Small,0.0,0.0
1,2,daheng_12mm,100,50,45,45,500,15,Big,0.0,0.7666666666666667
1,2,daheng_12mm,100,50,45,45,500,15,Medium,0.0,0.0
1,2,daheng_12mm,100,50,45,45,500,15,Small,0.0,0.0
1,3,daheng_12mm,100,50,45,45,500,15,Big,1.0,1.0
1,3,daheng_12mm,100,50,45,45,500,15,Medium,0.4666666666666667,0.7
1,3,daheng_12mm,100,50,45,45,500,15,Small,0.0,0.0
2,0,daheng_12mm,100,50,45,45,500,15,Big,1.0,0.2
2,0,daheng_12mm,100,50,45,45,500,15,Medium,0.9,0.0
2,0,daheng_12mm,100,50,45,45,500,15,Small,0.06666666666666667,0.0
2,1,daheng_12mm,100,50,45,45,500,15,Big,1.0,1.0
2,1,daheng_12mm,100,50,45,45,500,15,Medium,0.1,0.13333333333333333
2,1,daheng_12mm,100,50,45,45,500,15,Small,0.0,0.0
2,2,daheng_12mm,100,50,45,45,500,15,Big,0.0,0.7
